hts8|brief_description|quantity_1_code|quantity_2_code|mfn_ave97|mfn_rate_type_code|wto_binding_code|mfn_ad_val_rate|mfn_specific_rate|mfn_other_rate|gsp_indicator|gsp_ctry_excluded|apta_indicator|civil_air_indicator|cbi_indicator|cbi_ad_val_rate|cbi_specific_rate|israel_fta_indicator|atpa_indicator|atpa_ad_val_rate|atpa_specific_rate|pharmaceutical_ind|dyes_indicator|nafta_canada_ind|canada_ad_val_rate|canada_specific_rate|canada_other_rate|nafta_mexico_ind|mexico_ad_val_rate|mexico_specific_rate|mexico_other_rate|col2_rate_type_code|col2_ad_val_rate|col2_specific_rate|col2_other_rate|begin_effect_date|end_effective_date
87149490|Pts. & access. for bicycles & o/cycles, brakes and parts thereof, nesoi|KG||0.1|7|B|0.1|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.01|0|0|MX|0.06|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87149500|Pts. & access. for bicycles & o/cycles, saddles|NO||0.088|7|B|0.088|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.01|0|0|MX|0.06|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87149610|Pts. & access. for bicycles & o/cycles, pedals and parts thereof|KG||0.088|7|B|0.088|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.01|0|0|MX|0.06|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87149690|Pts. & access. for bicycles & o/cycles, crank-gear nesoi and parts thereof|KG||0.1|7|B|0.1|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.01|0|0|MX|0.06|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87149910|Pts. & access. for bicycles & o/cycles, click twist grips and click stick levers|KG||0.024|7|B|0.024|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.006|0|0|MX|0|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87149980|Pts. & access. nesoi, for bicycles and other cycles of heading 8712|KG||0.1|7|B|0.1|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.01|0|0|MX|0.06|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
90292020|Bicycle speedometers|NO||0.104|7|B|0.104|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.017|0|0|MX|0.034|0|0|7|1.1|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
90299040|Parts and accessories of bicycle speedometers|X||0.104|7|B|0.104|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.017|0|0|MX|0.034|0|0|7|1.1|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
91031020|Clocks with watch movements, excluding clocks of heading 9104, electrically operated, with opto-electronic display only|NA||0.035|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|7|0.35|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
91031040|Clocks with watch movements, excluding clocks of heading 9104, electrically operated, with 0-1 jewel in the movement|NA||0.082|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91031080|Clocks with watch movements, excluding clocks of heading 9104, electrically operated, with over 1 jewel in the movement|NA||0.083|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91039000|Clocks with watch movements, excluding clocks of heading 9104, not electrically operated|NA||0.091|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91040005|Instrument panel clocks for vehicles, air/spacecraft, vessels, clock movement over 50 mm wide, opto-electronic display only, n/o $10 each|NA||0.035|T|B|9999.99999999|9999.99999999|9999.99999999|A+||B|C|E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|7|0.35|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
91040010|Instrument panel clocks for veh., air/spacecraft, vessels, clock mvmt over 50 mm wide, electric, nt optoelectronic display, n/o $10 each|NA||0.081|T|B|9999.99999999|9999.99999999|9999.99999999|A+||B|C|E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91040020|Instrument panel clocks for vehicles, air/spacecraft, vessels, w/clock movement over 50 mm wide, valued n/o $10 each, nonelectric|NO||0.09|4|B|0.064|0.3|0|A+||B|C|E|0|0|IL|J|0|0|||CA|0.006|0.03|0|MX|0|0|0|4|0.65|3|0|05/31/1997 00:00:00|12/31/1997 00:00:00
91040025|Instrument panel clocks for vehicles, air/spacecraft, vessels, w/clock movement ov 50 mm wide, opto-electronic display only, ov $10 each|NA||0.039|T|B|9999.99999999|9999.99999999|9999.99999999|A+||B|C|E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|7|0.35|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
91040030|Instrument panel clocks for vehicles, air/spacecraft,vessels, w/clock mvmt ov 50 mm wide, electric, nt optoelectronic display, ov $10 each|NA||0.063|T|B|9999.99999999|9999.99999999|9999.99999999|A+||B|C|E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91040040|Instrument panel clocks for vehicles, air/spacecraft,vessels, w/clock movement ov 50 mm wide, valued ov $10 each, non-electric|NO||0.059|4|B|0.051|0.36|0|A+||B|C|E|0|0|IL|J|0|0|||CA|0.006|0.045|0|MX|0|0|0|4|0.65|4.5|0|05/31/1997 00:00:00|12/31/1997 00:00:00
91040045|Instrument panel clocks for vehicles, air/spacecraft,vessels, w/watch or clock movement < 50 mm wide, opto-electronic display only|NA||0.034|T|B|9999.99999999|9999.99999999|9999.99999999|A+||B|C|E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|7|0.35|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
91040050|Instrument panel clocks for vehicles, air/spacecraft, vessels, w/watch or clock movement < 50 mm wide, electric, not opto-electronic display|NA||0.059|T|B|9999.99999999|9999.99999999|9999.99999999|A+||B|C|E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91040060|Instrument panel clocks for vehicles, air/spacecraft or vessels, w/clock or watch movement < 50 mm wide, nonelectric|NA||0.056|T|B|9999.99999999|9999.99999999|9999.99999999|A+||B|C|E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91051140|Alarm clocks nesoi, electrically operated, with opto-electronic display only|NA||0.039|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|7|0.35|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
91051180|Alarm clocks nesoi, electrically operated, other than with opto-electronic display only|NA||0.093|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91051920|Alarm clocks nesoi, not electrically operated, movement measuring n/o 50 mm, designed to operate over 47 hrs w/o rewinding, with 0-1 jewel|NA||0.164|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91051930|Alarm clocks nesoi, not electrically operated, movement measuring n/o 50 mm, designed to operate over 47 hrs w/o rewinding, over 1 jewel|NA|NA|0.027|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91051950|Alarm clocks nesoi, not electrically operated,  movement measuring over 50 mm in width or diameter, valued over $5 each|NO||0.07|4|B|0.045|0.32|0|A+||||E|0|0|IL|J|0|0|||CA|0.006|0.045|0|MX|0|0|0|4|0.65|4.5|0|05/31/1997 00:00:00|12/31/1997 00:00:00
91052140|Wall clocks nesoi, electrically operated, with opto-electronic display only|NA||0.039|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|7|0.35|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
91052180|Wall clocks nesoi, electrically operated, other than with opto-electronic display only|NA||0.084|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
91052910|Wall clocks nesoi, not electrically operated, mvmt measuring n/o 50 mm, not designed or constr. to operate over 47 hrs without rewinding|NA||0.041|T|B|9999.99999999|9999.99999999|9999.99999999|A+||||E|0|0|IL|J|0|0|||CA|9999.99999999|9999.99999999|9999.99999999|MX|0|0|0|T|9999.99999999|9999.99999999|9999.99999999|05/31/1997 00:00:00|12/31/1997 00:00:00
